GeneSymbol	Marker	ImmunePhenotype	Function	OmniSeq_Description
BTLA	BTLA	Checkpoint Blockade (Other)	Co-inhibitory	"BTLA, B and T lymphocyte attenuator, is a member of the immunoglobulin superfamily (PMID: 31774112) and inhibitory receptor belonging to the CD28 family (PMID: 27717503). BTLA expresison  on T-cells aids in the negative regulation of T-cells and leads to decreased T-lymphocytes (PMID: 31774112). The function of BTLA has been associated with damening immune responses and mediating immune memory and prosurvival effects (PMID: 27717503; PMID: 21220749) "
VSIR	VISTA	Checkpoint Blockade (Other)	Co-inhibitory	"VISTA, V-domain Ig suppressor of T cell activation, encoded by the C10orf54 gene,  is a member of the B7-family that shares homolgy with PD-L1 and PD-L2 (PMID: 30382166).  VISTA is an immune checkpoint blockade that suppresses T-cell activation when expressed as a ligand on APCs or a receptor on T-cells (PMID: 31781843).  Higher denisty of VISTA has been associated with resistance to immune checkpoint blockade (PMID:  28776578)"
CCL2	CCL2	Myeloid Suppression	Immunosuppressive	"CCL2, chemokine (C-C motif) ligand 2 , is a chemokine that is a potent chemoattractant for macrophages and T-cells (PMID: 15900302). CCL2 expression from tumor cells facilitates metastasis by activating CCR2 in the endothelium, increasing vascular permeability (PMID: 22789541). Expression leads to sustaining cancer cell proliferation and survival, stimulating cancer cell migration and invasion, and inducing deleterious inflammation and angiogenesis (PMID: 26885690)"
CD163	CD163	Myeloid Suppression	Immunosuppressive	"CD163, a member of the Scavenger Receptor Cystein-rich (SRCR) protein family, is involved in hemoglobin clearance, and a marker for monocytes and macrophages (PMID:11298324; PMID:28687956). CD163 expression on cancer cells has been associated with poor prognosis in numerous cancers such as breast, colorectal and bladder cancer (PMID:28687956 ; PMID:29725763)"
CD2	CD2	Tumor Infiltrating Lymphocytes (TILs)	Cytotoxic T-cells/T-regs	"CD2, also knows as T-cell surface antigen 11 (T11), is expressed on mature T-cells with higher frequency on memory T-cells (PMID: 2951597, DOI:10.1101/589440) CD2 along with its ligand CD58 inhibit T-cell conjugation and kill alloreactive target cells (DOI: 10.1101/589440). Increased CD2 expression as been associated with decreased PD-L1 expression (PMID: 31383967) check that last sentence"
CD244	SLAMF4	Tumor Infiltrating Lymphocytes (TILs)	NK Cells	"CD244 belongs to the signaling lymphocytic activation molecule (SLAM) related receptors and is expressed on NK cells, monocytes, basophils, γδ T cells, dendritic cells, myeloid derived supressor cells and CD8+ T-cells (PMID: 15713798; PMID: 30546369). CD244, along with other inhibitory receptors like PD-1 shows increased expression on exhausted T-cells and TILs compared to peripheral blood (PMID:30546369; PMID: 26205583)"
CD3E	CD3		Cytotoxic T-cells/T-regs	CD3 chains make up the T-cell antigen receptor complex that transmits signals received from antigen-presenting cells (PMID: 26507128). CD3e is required in both types of T-cell antigen receptor complexes and plays a central role in CD3 core assembly and full complex expression (PMID:8490660)
CD3D	CD3		Cytotoxic T-cells/T-regs	CD3 chains make up the T-cell antigen receptor complex that transmits signals received from antigen-presenting cells (PMID: 26507128). CD3d is not required for pre-TCR signalling (PMID: 12215456) but plays an essential role for promoting progression of early thymocytes towards double positive stage (PMID:15546002)
CD3G	CD3	Tumor Infiltrating Lymphocytes (TILs)	Cytotoxic T-cells/T-regs	CD3 chains make up the T-cell antigen receptor complex that transmits signals received from antigen-presenting cells (PMID: 26507128). CD3g plays a role in the regulation to TCR expression at the cell surface that is dependent on its  di-leucine-based (diL) receptor-sorting motif (PMID:8187769)
CD40LG	CD40LG	T-cell Primed	Co-stimulatory	"CD40LG, CD40 Ligand, is a type II transmembrane protein in which interaction with CD40 on B-cells triggers B-cell differentiation, maturation and apoptosis (PMID: 15067037). The CD40L-CD40 interaction is necessary for priming of Th1-T-cells by promiting cell matruation and cytokine production (PMID: 15067037; PMID: 8627184)"
