GeneSymbol	Marker	ImmunePhenotype	Function	JAX_Description	OmniSeq_Description	Entrez_Description	GeneCards_Description	UniProt_Description
ADORA2A	ADORA2A	Metabolic Immune Escape	Immunosuppressive	"ADORA2A, adenosine A2a receptor, is a G-protein coupled receptor that binds adenosine to regulate a number of physiological functions and is expressed by a variety of cells, including dendritic cells (DCs), T-cells and NK-cells (PMID: 23856527). ADORA2A in the tumor microenvironment evades immune surveillance by inhibiting T-cell receptor function (PMID: 23856527, PMID: 25377469) and therapeutic blockade may restore the anti-tumor response (PMID: 28174424)."	"ADORA2A, adenosine A2a receptor, is a G-protein coupled receptor that binds adenosine to regulate a number of physiological functions and is expressed by a variety of cells, including dendritic cells (DCs), T-cells and NK-cells (PMID: 23856527). ADORA2A in the tumor microenvironment evades immune surveillance by inhibiting T-cell receptor function (PMID: 23856527, PMID: 25377469) and therapeutic blockade may restore the anti-tumor response (PMID: 28174424)."	"This gene encodes a member of the guanine nucleotide-binding protein (G protein)-coupled receptor (GPCR) superfamily, which is subdivided into classes and subtypes. The receptors are seven-pass transmembrane proteins that respond to extracellular cues and activate intracellular signal transduction pathways. This protein, an adenosine receptor of A2A subtype, uses adenosine as the preferred endogenous agonist and preferentially interacts with the G(s) and G(olf) family of G proteins to increase intracellular cAMP levels. It plays an important role in many biological functions, such as cardiac rhythm and circulation, cerebral and renal blood flow, immune function, pain regulation, and sleep. It has been implicated in pathophysiological conditions such as inflammatory diseases and neurodegenerative disorders. Alternative splicing results in multiple transcript variants. A read-through transcript composed of the upstream SPECC1L (sperm antigen with calponin homology and coiled-coil domains 1-like) and ADORA2A (adenosine A2a receptor) gene sequence has been identified, but it is thought to be non-coding. [provided by RefSeq, Jun 2013]"	ADORA2A (Adenosine A2a Receptor) is a Protein Coding gene. Diseases associated with ADORA2A include Acute Encephalopathy With Biphasic Seizures And Late Reduced Diffusion and Panic Disorder. Among its related pathways are Signaling by GPCR and Microglia Activation During Neuroinflammation: Overview. Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and protein heterodimerization activity. An important paralog of this gene is ADORA2B.	Receptor for adenosine (By similarity). The activity of this receptor is mediated by G proteins which activate adenylyl cyclase (By similarity).
BTLA	BTLA	Checkpoint Blockade (Other)	Co-inhibitory		"BTLA, B and T lymphocyte attenuator, is a member of the immunoglobulin superfamily (PMID: 31774112) and inhibitory receptor belonging to the CD28 family (PMID: 27717503). BTLA expresison  on T-cells aids in the negative regulation of T-cells and leads to decreased T-lymphocytes (PMID: 31774112). The function of BTLA has been associated with damening immune responses and mediating immune memory and prosurvival effects (PMID: 27717503; PMID: 21220749) "	"This gene encodes a member of the immunoglobulin superfamily. The encoded protein contains a single immunoglobulin (Ig) domain and is a receptor that relays inhibitory signals to suppress the immune response. Alternative splicing results in multiple transcript variants. Polymorphisms in this gene have been associated with an increased risk of rheumatoid arthritis. [provided by RefSeq, Aug 2011]"	BTLA (B And T Lymphocyte Associated) is a Protein Coding gene. Diseases associated with BTLA include Cone-Rod Dystrophy 1 and Cone-Rod Dystrophy 2. Among its related pathways are Class I MHC mediated antigen processing and presentation and T Cell Co-Signaling Pathway: Ligand-Receptor Interactions.	"Inhibitory receptor on lymphocytes that negatively regulates antigen receptor signaling via PTPN6/SHP-1 and PTPN11/SHP-2 (PubMed:12796776, PubMed:14652006, PubMed:15568026, PubMed:18193050). May interact in cis (on the same cell) or in trans (on other cells) with TNFRSF14 (PubMed:19915044). In cis interactions, appears to play an immune regulatory role inhibiting in trans interactions in naive T cells to maintain a resting state. In trans interactions, can predominate during adaptive immune response to provide survival signals to effector T cells (PubMed:19915044)."
C10orf54	VISTA	Checkpoint Blockade (Other)	Co-inhibitory		"VISTA, V-domain Ig suppressor of T cell activation, encoded by the C10orf54 gene,  is a member of the B7-family that shares homolgy with PD-L1 and PD-L2 (PMID: 30382166).  VISTA is an immune checkpoint blockade that suppresses T-cell activation when expressed as a ligand on APCs or a receptor on T-cells (PMID: 31781843).  Higher denisty of VISTA has been associated with resistance to immune checkpoint blockade (PMID:  28776578)"		VSIR (V-Set Immunoregulatory Receptor) is a Protein Coding gene. Diseases associated with VSIR include Monckeberg Arteriosclerosis and Superficial Mycosis. Among its related pathways are Cell adhesion molecules (CAMs) and T Cell Co-Signaling Pathway: Ligand-Receptor Interactions. An important paralog of this gene is CLMP.	"Immunoregulatory receptor which inhibits the T-cell response (PubMed:24691993). May promote differentiation of embryonic stem cells, by inhibiting BMP4 signaling (By similarity). May stimulate MMP14-mediated MMP2 activation (PubMed:20666777)."
CCL2	CCL2	Myeloid Suppression	Immunosuppressive		"CCL2, chemokine (C-C motif) ligand 2 , is a chemokine that is a potent chemoattractant for macrophages and T-cells (PMID: 15900302). CCL2 expression from tumor cells facilitates metastasis by activating CCR2 in the endothelium, increasing vascular permeability (PMID: 22789541). Expression leads to sustaining cancer cell proliferation and survival, stimulating cancer cell migration and invasion, and inducing deleterious inflammation and angiogenesis (PMID: 26885690)"	"This gene is one of several cytokine genes clustered on the q-arm of chromosome 17. Chemokines are a superfamily of secreted proteins involved in immunoregulatory and inflammatory processes. The superfamily is divided into four subfamilies based on the arrangement of N-terminal cysteine residues of the mature peptide. This chemokine is a member of the CC subfamily which is characterized by two adjacent cysteine residues. This cytokine displays chemotactic activity for monocytes and basophils but not for neutrophils or eosinophils. It has been implicated in the pathogenesis of diseases characterized by monocytic infiltrates, like psoriasis, rheumatoid arthritis and atherosclerosis. It binds to chemokine receptors CCR2 and CCR4. [provided by RefSeq, Jul 2013]"	CCL2 (C-C Motif Chemokine Ligand 2) is a Protein Coding gene. Diseases associated with CCL2 include Neural Tube Defects and Human Immunodeficiency Virus Type 1. Among its related pathways are CCR5 Pathway in Macrophages and ERK Signaling. Gene Ontology (GO) annotations related to this gene include protein kinase activity and heparin binding. An important paralog of this gene is CCL7.	"Acts as a ligand for C-C chemokine receptor CCR2 (PubMed:9837883, PubMed:10587439, PubMed:10529171). Signals through binding and activation of CCR2 and induces a strong chemotactic response and mobilization of intracellular calcium ions (PubMed:9837883, PubMed:10587439). Exhibits a chemotactic activity for monocytes and basophils but not neutrophils or eosinophils (PubMed:8627182, PubMed:9792674, PubMed:8195247). May be involved in the recruitment of monocytes into the arterial wall during the disease process of atherosclerosis (PubMed:8107690)."
CCR2	CCR2	Myeloid Suppression	Immunosuppressive	"CCR2, chemokine (C-C motif) receptor 2, is a transmembrane receptor for the chemokines CCL2, CCL8, CCL7 and CCL13 (PMID: 23408426) and is also an alternative coreceptor for HIV-1 infection (PMID: 12192431). CCL2 expression from tumor cells facilitates metastasis by activating CCR2 in the endothelium, increasing vascular permeability (PMID: 22789541) and other studies have shown inhibition of Ccr2 prevents CCCL2 induced cell invasion and viability (PMID: 28424406)."	"CCR2, chemokine (C-C motif) receptor 2, is expressed on dendritc cells, monocytes, and macrophages (PMID: 23938203). CCR2 is activated by its chemokine ligands (CCL2, CCL8, CCL7, and CCL13) and it stimulates monocyte migration from peripheral circulation to inflammed tissue through the vascular wall (PMID: 23408426; PMID: 15995708)"	"The protein encoded by this gene is a receptor for monocyte chemoattractant protein-1, a chemokine which specifically mediates monocyte chemotaxis. Monocyte chemoattractant protein-1 is involved in monocyte infiltration in inflammatory diseases such as rheumatoid arthritis as well as in the inflammatory response against tumors. The encoded protein mediates agonist-dependent calcium mobilization and inhibition of adenylyl cyclase. This protein can also be a coreceptor with CD4 for HIV-1 infection. This gene is located in the chemokine receptor gene cluster region of chromosome 3. [provided by RefSeq, Aug 2017]"	CCR2 (C-C Motif Chemokine Receptor 2) is a Protein Coding gene. Diseases associated with CCR2 include Human Immunodeficiency Virus Type 1 and Idiopathic Anterior Uveitis. Among its related pathways are Signaling by GPCR and CCR5 Pathway in Macrophages. Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and chemokine receptor activity. An important paralog of this gene is CCR5.	"Key functional receptor for CCL2 but can also bind CCL7 and CCL12 (PubMed:8146186, PubMed:8048929, PubMed:23408426). Its binding with CCL2 on monocytes and macrophages mediates chemotaxis and migration induction through the activation of the PI3K cascade, the small G protein Rac and lamellipodium protrusion (Probable). Also acts as a receptor for the beta-defensin DEFB106A/DEFB106B (PubMed:23938203). Regulates the expression of T-cell inflammatory cytokines and T-cell differentiation, promoting the differentiation of T-cells into T-helper 17 cells (Th17) during inflammation (By similarity). Facilitates the export of mature thymocytes by enhancing directional movement of thymocytes to sphingosine-1-phosphate stimulation and up-regulation of S1P1R expression; signals through the JAK-STAT pathway to regulate FOXO1 activity leading to an increased expression of S1P1R (By similarity). Plays an important role in mediating peripheral nerve injury-induced neuropathic pain (By similarity). Increases NMDA-mediated synaptic transmission in both dopamine D1 and D2 receptor-containing neurons, which may be caused by MAPK/ERK-dependent phosphorylation of GRIN2B/NMDAR2B (By similarity). Mediates the recruitment of macrophages and monocytes to the injury site following brain injury (By similarity)."
CD163	CD163	Myeloid Suppression	Immunosuppressive		"CD163, a member of the Scavenger Receptor Cystein-rich (SRCR) protein family, is involved in hemoglobin clearance, and a marker for monocytes and macrophages (PMID:11298324; PMID:28687956). CD163 expression on cancer cells has been associated with poor prognosis in numerous cancers such as breast, colorectal and bladder cancer (PMID:28687956 ; PMID:29725763)"	"The protein encoded by this gene is a member of the scavenger receptor cysteine-rich (SRCR) superfamily, and is exclusively expressed in monocytes and macrophages. It functions as an acute phase-regulated receptor involved in the clearance and endocytosis of hemoglobin/haptoglobin complexes by macrophages, and may thereby protect tissues from free hemoglobin-mediated oxidative damage. This protein may also function as an innate immune sensor for bacteria and inducer of local inflammation. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Aug 2011]"	CD163 (CD163 Molecule) is a Protein Coding gene. Diseases associated with CD163 include Rosai-Dorfman Disease and Non-Langerhans-Cell Histiocytosis. Among its related pathways are Dendritic Cells Developmental Lineage Pathway and Binding and Uptake of Ligands by Scavenger Receptors. Gene Ontology (GO) annotations related to this gene include scavenger receptor activity. An important paralog of this gene is DMBT1.	"Acute phase-regulated receptor involved in clearance and endocytosis of hemoglobin/haptoglobin complexes by macrophages and may thereby protect tissues from free hemoglobin-mediated oxidative damage. May play a role in the uptake and recycling of iron, via endocytosis of hemoglobin/haptoglobin and subsequent breakdown of heme. Binds hemoglobin/haptoglobin complexes in a calcium-dependent and pH-dependent manner. Exhibits a higher affinity for complexes of hemoglobin and multimeric haptoglobin of HP*1F phenotype than for complexes of hemoglobin and dimeric haptoglobin of HP*1S phenotype. Induces a cascade of intracellular signals that involves tyrosine kinase-dependent calcium mobilization, inositol triphosphate production and secretion of IL6 and CSF1. Isoform 3 exhibits the higher capacity for ligand endocytosis and the more pronounced surface expression when expressed in cells. After shedding, the soluble form (sCD163) may play an anti-inflammatory role, and may be a valuable diagnostic parameter for monitoring macrophage activation in inflammatory conditions."
CD2	CD2	Tumor Infiltrating Lymphocytes (TILs)	Cytotoxic T-cells/T-regs		"CD2, also knows as T-cell surface antigen 11 (T11), is expressed on mature T-cells with higher frequency on memory T-cells (PMID: 2951597, DOI:10.1101/589440) CD2 along with its ligand CD58 inhibit T-cell conjugation and kill alloreactive target cells (DOI: 10.1101/589440). Increased CD2 expression as been associated with decreased PD-L1 expression (PMID: 31383967) check that last sentence"	"The protein encoded by this gene is a surface antigen found on all peripheral blood T-cells. The encoded protein interacts with LFA3 (CD58) on antigen presenting cells to optimize immune recognition. A locus control region (LCR) has been found in the 3' flanking sequence of this gene. [provided by RefSeq, Jun 2016]"	"CD2 (CD2 Molecule) is a Protein Coding gene. Diseases associated with CD2 include Mastocytosis, Cutaneous and Mastocytosis. Among its related pathways are Hematopoietic cell lineage and ERK Signaling. Gene Ontology (GO) annotations related to this gene include protein homodimerization activity. An important paralog of this gene is CD84."	"CD2 interacts with lymphocyte function-associated antigen CD58 (LFA-3) and CD48/BCM1 to mediate adhesion between T-cells and other cell types. CD2 is implicated in the triggering of T-cells, the cytoplasmic domain is implicated in the signaling function."
CD244	SLAMF4	Tumor Infiltrating Lymphocytes (TILs)	NK Cells		"CD244 belongs to the signaling lymphocytic activation molecule (SLAM) related receptors and is expressed on NK cells, monocytes, basophils, γδ T cells, dendritic cells, myeloid derived supressor cells and CD8+ T-cells (PMID: 15713798; PMID: 30546369). CD244, along with other inhibitory receptors like PD-1 shows increased expression on exhausted T-cells and TILs compared to peripheral blood (PMID:30546369; PMID: 26205583)"	"This gene encodes a cell surface receptor expressed on natural killer (NK) cells (and some T cells) that mediate non-major histocompatibility complex (MHC) restricted killing. The interaction between NK-cell and target cells via this receptor is thought to modulate NK-cell cytolytic activity. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Oct 2009]"	CD244 (CD244 Molecule) is a Protein Coding gene. Diseases associated with CD244 include Mycobacterium Tuberculosis 1 and Rheumatoid Arthritis. Among its related pathways are Cell surface interactions at the vascular wall and Dendritic Cells Developmental Lineage Pathway. An important paralog of this gene is LY9.	"Heterophilic receptor of the signaling lymphocytic activation molecule (SLAM) family; its ligand is CD48. SLAM receptors triggered by homo- or heterotypic cell-cell interactions are modulating the activation and differentiation of a wide variety of immune cells and thus are involved in the regulation and interconnection of both innate and adaptive immune response. Activities are controlled by presence or absence of small cytoplasmic adapter proteins, SH2D1A/SAP and/or SH2D1B/EAT-2. Acts as activating natural killer (NK) cell receptor (PubMed:10359122, PubMed:8376943, PubMed:11714776). Activating function implicates association with SH2D1A and FYN (PubMed:15713798). Downstreaming signaling involves predominantly VAV1, and, to a lesser degree, INPP5D/SHIP1 and CBL. Signal attenuation in the absence of SH2D1A is proposed to be dependent on INPP5D and to a lesser extent PTPN6/SHP-1 and PTPN11/SHP-2 (PubMed:10934222, PubMed:15713798). Stimulates NK cell cytotoxicity, production of IFN-gamma and granule exocytosis (PubMed:8376943, PubMed:11714776). Optimal expansion and activation of NK cells seems to be dependent on the engagement of CD244 with CD48 expressed on neighboring NK cells (By similarity). Acts as costimulator in NK activation by enhancing signals by other NK receptors such as NCR3 and NCR1 (PubMed:10741393). At early stages of NK cell differentiation may function as an inhibitory receptor possibly ensuring the self-tolerance of developing NK cells (PubMed:11917118). Involved in the regulation of CD8(+) T-cell proliferation; expression on activated T-cells and binding to CD488 provides costimulatory-like function for neighboring T-cells (By similarity). Inhibits inflammatory responses in dendritic cells (DCs) (By similarity)."
CD27	CD27	T-cell Primed	Co-stimulatory	"CD27, CD27 molecule, encodes for a member of the TNF receptor family, which binds to CD70, thereby, co-stimulating T and B cells, inducing cell survival, and activating the NF-kappaB pathway (PMID: 15886117, PMID: 23264908). CD27 expression in lymphoma and leukemia cells has been associted with increased cell proliferation and differentiation (PMID: 23264908)."	"CD27, CD27 molecule, encodes for a member of the tumor necrosis factor (TNF) receptor family, is located on NK cells, CD4+ and CD8+ T cells (PMID: 15886117). Upon ligation to CD70, CD27 activates NFkB and promotes cell survial, enhances T and B cells proliferative signals and increases effector functions (PMID: 15886117, PMID: 23264908)."	"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor is required for generation and long-term maintenance of T cell immunity. It binds to ligand CD70, and plays a key role in regulating B-cell activation and immunoglobulin synthesis. This receptor transduces signals that lead to the activation of NF-kappaB and MAPK8/JNK. Adaptor proteins TRAF2 and TRAF5 have been shown to mediate the signaling process of this receptor. CD27-binding protein (SIVA), a proapoptotic protein, can bind to this receptor and is thought to play an important role in the apoptosis induced by this receptor. [provided by RefSeq, Jul 2008]"	CD27 (CD27 Molecule) is a Protein Coding gene. Diseases associated with CD27 include Lymphoproliferative Syndrome 2 and Lymphoproliferative Syndrome. Among its related pathways are ERK Signaling and Akt Signaling. Gene Ontology (GO) annotations related to this gene include transmembrane signaling receptor activity and cysteine-type endopeptidase inhibitor activity involved in apoptotic process. An important paralog of this gene is RELT.	Receptor for CD70/CD27L. May play a role in survival of activated T-cells. May play a role in apoptosis through association with SIVA1.
CD274	PD-L1	Checkpoint Blockade (PD-1/CTLA4)	Co-inhibitory	"CD274, CD274 molecule, encodes for an immunomodulatory ligand (PD-L1), which once bound to its receptor, PD-1, results in inhibition of T-cell activation (PMID: 24551119). CD274 overexpression has been observed across multiple tumor types, which has been associated with CD274 amplification, specifically in Hodgkin's lymphoma (PMID: 20628145)."	"CD274, CD274 molecule, encodes for an immunomodulatory ligand (PD-L1), that is expressed on natural killer cells, macrophages, myeloid dendritic cells, B-cells, epithelial cells, and vascular endotherlial cells (PMID: 24551119).  When PD-L1 binds to its receptor, PD-1, it results in inhibition of T-cell activation which contributes to T-cell exhaustion (PMID: 24551119; PMID: 25695955). Tumor cells have adapted this mechanism leading to over-expressed PD-L1 to avoid immunologic survelliance to facilitate cancer growth (PMID: 25695955)"	"This gene encodes an immune inhibitory receptor ligand that is expressed by hematopoietic and non-hematopoietic cells, such as T cells and B cells and various types of tumor cells. The encoded protein is a type I transmembrane protein that has immunoglobulin V-like and C-like domains. Interaction of this ligand with its receptor inhibits T-cell activation and cytokine production. During infection or inflammation of normal tissue, this interaction is important for preventing autoimmunity by maintaining homeostasis of the immune response. In tumor microenvironments, this interaction provides an immune escape for tumor cells through cytotoxic T-cell inactivation. Expression of this gene in tumor cells is considered to be prognostic in many types of human malignancies, including colon cancer and renal cell carcinoma. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2015]"	CD274 (CD274 Molecule) is a Protein Coding gene. Diseases associated with CD274 include Testicular Lymphoma and Smoldering Myeloma. Among its related pathways are Class I MHC mediated antigen processing and presentation and Cell adhesion molecules (CAMs). An important paralog of this gene is PDCD1LG2.	"Plays a critical role in induction and maintenance of immune tolerance to self (PubMed:11015443, PubMed:28813417, PubMed:28813410). As a ligand for the inhibitory receptor PDCD1/PD-1, modulates the activation threshold of T-cells and limits T-cell effector response (PubMed:11015443, PubMed:28813417, PubMed:28813410). Through a yet unknown activating receptor, may costimulate T-cell subsets that predominantly produce interleukin-10 (IL10) (PubMed:10581077). The PDCD1-mediated inhibitory pathway is exploited by tumors to attenuate anti-tumor immunity and escape destruction by the immune system, thereby facilitating tumor survival (PubMed:28813417, PubMed:28813410). The interaction with PDCD1/PD-1 inhibits cytotoxic T lymphocytes (CTLs) effector function (By similarity). The blockage of the PDCD1-mediated pathway results in the reversal of the exhausted T-cell phenotype and the normalization of the anti-tumor response, providing a rationale for cancer immunotherapy (By similarity)."
