Gene,GeneType,AmpliconType
ABL1,Oncogene,Fusion
ABL1,Oncogene,Hotspot
ACVRL1,Oncogene,CNV
AKT1,Oncogene,CNV
AKT1,Oncogene,Hotspot
AKT3,Oncogene,Fusion
ALK,Oncogene,Fusion
ALK,Oncogene,Hotspot
APC,Tumor Suppressor Gene,CDS
APEX1,Oncogene,CNV
AR,Oncogene,CNV
AR,Oncogene,Hotspot
ARAF,Oncogene,Hotspot
ATM,Tumor Suppressor Gene,CDS
ATP11B,Oncogene,CNV
AXL,Oncogene,Fusion
BAP1,Tumor Suppressor Gene,CDS
BCL2L1,Oncogene,CNV
BCL9,Oncogene,CNV
BIRC2,Oncogene,CNV
BIRC3,Oncogene,CNV
BRAF,Oncogene,Fusion
BRAF,Oncogene,Hotspot
BRCA1,Tumor Suppressor Gene,CDS
BRCA2,Tumor Suppressor Gene,CDS
BTK,Oncogene,Hotspot
CBL,Oncogene,Hotspot
CCND1,Oncogene,CNV
CCNE1,Oncogene,CNV
CD274,Oncogene,CNV
CD44,Oncogene,CNV
CDH1,Tumor Suppressor Gene,CDS
CDK4,Oncogene,CNV
CDK4,Oncogene,Hotspot
CDK6,Oncogene,CNV
CDKN2A,Tumor Suppressor Gene,CDS
CHEK2,Oncogene,Hotspot
CSF1R,Oncogene,Hotspot
CSNK2A1,Oncogene,CNV
CTNNB1,Oncogene,Hotspot
DCUN1D1,Oncogene,CNV
DDR2,Oncogene,Hotspot
DNMT3A,Oncogene,Hotspot
EGFR,Oncogene,CNV
EGFR,Oncogene,Fusion
EGFR,Oncogene,Hotspot
ERBB2,Oncogene,CNV
ERBB2,Oncogene,Fusion
ERBB2,Oncogene,Hotspot
ERBB3,Oncogene,Hotspot
ERBB4,Oncogene,Hotspot
ERG,Oncogene,Fusion
ESR1,Oncogene,Hotspot
ETV1,Oncogene,Fusion
ETV4,Oncogene,Fusion
ETV5,Oncogene,Fusion
EZH2,Oncogene,Hotspot
FBXW7,Tumor Suppressor Gene,CDS
FGFR1,Oncogene,CNV
FGFR1,Oncogene,Fusion
FGFR1,Oncogene,Hotspot
FGFR2,Oncogene,CNV
FGFR2,Oncogene,Fusion
FGFR2,Oncogene,Hotspot
FGFR3,Oncogene,CNV
FGFR3,Oncogene,Fusion
FGFR3,Oncogene,Hotspot
FGFR4,Oncogene,CNV
FLT3,Oncogene,CNV
FLT3,Oncogene,Hotspot
FOXL2,Oncogene,Hotspot
GAS6,Oncogene,CNV
GATA2,Oncogene,Hotspot
GATA3,Tumor Suppressor Gene,CDS
GNA11,Oncogene,Hotspot
GNAQ,Oncogene,Hotspot
GNAS,Oncogene,Hotspot
HNF1A,Oncogene,Hotspot
