"HGNC_Symbol","GeneType","GeneTypeSource","GeneTypeNotes","TSO500_DNA","TSO500_RNA","OCP_DNA_SNV_indel","OCP_DNA_CNV","OCP_RNA_fusion","IRC_RNA","IRC_DNA","IRC_IHC","IRC_NGS"
"ABL1","Oncogene","ThermoFisher",,-1,-1,-1,0,-1,0,0,0,0
"ABL2","Oncogene","COSMIC",,-1,0,0,0,0,0,0,0,0
"ACVR1","Oncogene","COSMIC",,-1,0,0,0,0,0,0,0,0
"ACVR1B","Tumor Suppressor Gene","JAX",,-1,0,0,0,0,0,0,0,0
"ACVRL1","Oncogene","ThermoFisher",,0,0,0,-1,0,0,0,0,0
"ADORA2A",,,,0,0,0,0,0,-1,0,0,0
"AKT1","Oncogene","ThermoFisher",,-1,0,-1,-1,0,0,0,0,0
"AKT2","Oncogene","COSMIC",,-1,0,0,0,0,0,0,0,0
"AKT3","Oncogene","ThermoFisher",,-1,-1,0,0,-1,0,0,0,0
"ALK","Oncogene","ThermoFisher",,-1,-1,-1,0,-1,0,0,0,0
"ALOX12B",,,,-1,0,0,0,0,0,0,0,0
"ANKRD11",,,,-1,0,0,0,0,0,0,0,0
"ANKRD26",,,,-1,0,0,0,0,0,0,0,0
"APC","Tumor Suppressor Gene","ThermoFisher",,-1,0,-1,-1,0,0,0,0,0
"APEX1","Oncogene","ThermoFisher",,0,0,0,-1,0,0,0,0,0
"AR","Oncogene","ThermoFisher",,-1,-1,-1,-1,0,0,0,0,0
"ARAF","Oncogene","JAX",,-1,0,-1,0,0,0,0,0,0
"ARFRP1",,,,-1,0,0,0,0,0,0,0,0
"ARID1A","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"ARID1B","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"ARID2","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"ARID5B","Tumor Suppressor Gene",,"imputed from other ARID genes",-1,0,0,0,0,0,0,0,0
"ASXL1","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"ASXL2","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"ATM","Tumor Suppressor Gene","ThermoFisher",,-1,0,-1,-1,0,0,0,0,0
"ATP11B","Oncogene","ThermoFisher",,0,0,0,-1,0,0,0,0,0
"ATR","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"ATRX","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"AURKA",,,,-1,0,0,0,0,0,0,0,0
"AURKB",,,,-1,0,0,0,0,0,0,0,0
"AXIN1","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"AXIN2","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"AXL","Oncogene","ThermoFisher",,-1,-1,0,0,-1,0,0,0,0
"B2M","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"BAP1","Tumor Suppressor Gene","ThermoFisher",,-1,0,-1,-1,0,0,0,0,0
"BARD1","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"BAT25_T25",,,,-1,0,0,0,0,0,0,0,0
"BAT26_A27",,,,-1,0,0,0,0,0,0,0,0
"BBC3","Oncogene","JAX","???",-1,0,0,0,0,0,0,0,0
"BCL10","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"BCL2","Oncogene","COSMIC",,-1,-1,0,0,0,0,0,0,0
"BCL2L1","Oncogene","ThermoFisher",,-1,0,0,-1,0,0,0,0,0
"BCL2L11","Oncogene",,"imputed from other BCL2 genes",-1,0,0,0,0,0,0,0,0
"BCL2L2",,,"I had as TSG at one point but not sure why",-1,0,0,0,0,0,0,0,0
"BCL6","Oncogene","COSMIC",,-1,0,0,0,0,0,0,0,0
"BCL9","Oncogene","ThermoFisher",,0,0,0,-1,0,0,0,0,0
"BCOR","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"BCORL1","Both","COSMIC",,-1,0,0,0,0,0,0,0,0
"BCR",,,"COSMIC says fusion",-1,0,0,0,0,0,0,0,0
"BIRC2","Oncogene","ThermoFisher",,0,0,0,-1,0,0,0,0,0
"BIRC3","Oncogene","ThermoFisher","COSMIC says both",-1,0,0,-1,0,0,0,0,0
"BLM","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"BMPR1A","Both","COSMIC",,-1,0,0,0,0,0,0,0,0
"BRAF","Oncogene","ThermoFisher",,-1,-1,-1,0,-1,0,0,0,0
"BRCA1","Tumor Suppressor Gene","ThermoFisher",,-1,-1,-1,-1,0,0,0,0,0
"BRCA2","Tumor Suppressor Gene","ThermoFisher",,-1,-1,-1,-1,0,0,0,0,0
"BRD4","Oncogene","COSMIC",,-1,0,0,0,0,0,0,0,0
"BRIP1","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"BTG1","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"BTK","Oncogene","COSMIC",,-1,0,-1,0,0,0,0,0,0
"BTLA",,,,0,0,0,0,0,-1,0,0,0
"C10orf54",,,,0,0,0,0,0,-1,0,0,0
"C11orf30",,,,-1,0,0,0,0,0,0,0,0
"CALR","Oncogene","COSMIC","OKR has as GOF",-1,0,0,0,0,0,0,0,0
"CARD11","Oncogene","COSMIC",,-1,0,0,0,0,0,0,0,0
"CASP8","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"CBFB","Tumor Suppressor Gene","COSMIC",,-1,0,0,0,0,0,0,0,0
"CBL","Oncogene","ThermoFisher","COSMIC has as both. name of gene is Cbl proto-oncogene C",-1,0,-1,0,0,0,0,0,0
"CCL2",,,,0,0,0,0,0,-1,0,0,0
"CCND1","Oncogene","ThermoFisher",,-1,0,0,-1,0,0,0,0,0
"CCND2","Oncogene","COSMIC",,-1,0,0,0,0,0,0,0,0
"CCND3","Oncogene","COSMIC",,-1,0,0,0,0,0,0,0,0
"CCNE1","Oncogene","ThermoFisher",,-1,0,0,-1,0,0,0,0,0
"CCR2",,,,0,0,0,0,0,-1,0,0,0
"CD163",,,,0,0,0,0,0,-1,0,0,0
"CD2",,,,0,0,0,0,0,-1,0,0,0
"CD244",,,,0,0,0,0,0,-1,0,0,0
"CD27",,,,0,0,0,0,0,-1,0,0,0
"CD274","Oncogene","ThermoFisher","COSMIC shows as TSG",-1,0,0,-1,0,-1,0,-1,0
"CD276",,,,-1,0,0,0,0,0,0,0,0
"CD28",,,,0,0,0,0,0,-1,0,0,0
"CD3D",,,,0,0,0,0,0,-1,0,0,0
"CD3E",,,,0,0,0,0,0,-1,0,0,0
"CD3G",,,,0,0,0,0,0,-1,0,0,0
"CD38",,,,0,0,0,0,0,-1,0,0,0
"CD4",,,,0,0,0,0,0,-1,0,0,0
"CD40",,,,0,0,0,0,0,-1,0,0,0
"CD40LG",,,,0,0,0,0,0,-1,0,0,0
"CD44","Oncogene","ThermoFisher",,0,0,0,-1,0,0,0,0,0
