gene_name,oncogenicCategory,editor,edit_date
ABL1,Oncogene,loader,2020-04-22-17-20-57-009374
ABL2,Oncogene,loader,2020-04-22-17-20-59-166344
ABRAXAS1,Neither,loader,2020-04-22-17-30-36-728421
ACVR1,Oncogene,loader,2020-04-22-17-21-01-224462
ACVR1B,Tumor Suppressor Gene,loader,2020-04-22-17-21-03-499054
ACVRL1,Oncogene,loader,2020-04-22-17-21-05-978721
ADGRA2,Neither,loader,2020-04-22-17-33-21-459945
ADORA2A,Neither,loader,2020-04-22-17-21-08-446620
AKT1,Oncogene,loader,2020-04-22-17-21-20-404444
AKT2,Oncogene,loader,2020-04-22-17-21-25-256566
AKT3,Oncogene,loader,2020-04-22-17-21-27-386598
ALK,Oncogene,loader,2020-04-22-17-21-29-607557
ALOX12B,Neither,loader,2020-04-22-17-21-32-055960
AMER1,Neither,loader,2020-04-22-17-30-35-106499
ANKRD11,Neither,loader,2020-04-22-17-21-34-927991
ANKRD26,Neither,loader,2020-04-22-17-21-36-480721
APC,Tumor Suppressor Gene,loader,2020-04-22-17-21-39-748030
APEX1,Oncogene,loader,2020-04-22-17-21-41-997843
AR,Oncogene,loader,2020-04-22-17-21-45-719434
ARAF,Oncogene,loader,2020-04-22-17-21-48-041121
ARFRP1,Neither,loader,2020-04-22-17-21-49-598556
ARID1A,Tumor Suppressor Gene,loader,2020-04-22-17-21-52-135103
ARID1B,Tumor Suppressor Gene,loader,2020-04-22-17-21-55-004436
ARID2,Tumor Suppressor Gene,loader,2020-04-22-17-21-56-821514
ARID5B,Tumor Suppressor Gene,loader,2020-04-22-17-21-59-557068
ASXL1,Tumor Suppressor Gene,loader,2020-04-22-17-22-02-681962
ASXL2,Tumor Suppressor Gene,loader,2020-04-22-17-22-05-386440
ATM,Tumor Suppressor Gene,loader,2020-04-22-17-22-12-848285
ATP11B,Oncogene,loader,2020-04-22-17-22-16-588485
ATR,Tumor Suppressor Gene,loader,2020-04-22-17-22-18-754842
ATRX,Tumor Suppressor Gene,loader,2020-04-22-17-22-21-913425
AURKA,Neither,loader,2020-04-22-17-22-26-067821
AURKB,Neither,loader,2020-04-22-17-22-29-278596
AXIN1,Tumor Suppressor Gene,loader,2020-04-22-17-22-34-216416
AXIN2,Tumor Suppressor Gene,loader,2020-04-22-17-22-36-236775
AXL,Oncogene,loader,2020-04-22-17-22-39-650467
B2M,Tumor Suppressor Gene,loader,2020-04-22-17-22-42-855102
BAP1,Tumor Suppressor Gene,loader,2020-04-22-17-22-50-640600
BARD1,Tumor Suppressor Gene,loader,2020-04-22-17-22-53-885271
BBC3,Oncogene,loader,2020-04-22-17-22-56-906804
BCL10,Tumor Suppressor Gene,loader,2020-04-22-17-22-59-963549
BCL2,Oncogene,loader,2020-04-22-17-23-02-748967
BCL2L1,Oncogene,loader,2020-04-22-17-23-05-355164
BCL2L11,Oncogene,loader,2020-04-22-17-23-08-001170
BCL2L2,Neither,loader,2020-04-22-17-23-09-847337
