id,gene_name,oncogenic_category,editor,edit_date_string,edited_date
1,ABL1,Oncogene,loader,2020-04-22-17-20-57-009374,"2020-04-22 17:20:57"
2,ABL2,Oncogene,loader,2020-04-22-17-20-59-166344,"2020-04-22 17:20:59"
3,ABRAXAS1,Neither,loader,2020-04-22-17-30-36-728421,"2020-04-22 17:30:37"
4,ACVR1,Oncogene,loader,2020-04-22-17-21-01-224462,"2020-04-22 17:21:01"
5,ACVR1B,"Tumor Suppressor Gene",loader,2020-04-22-17-21-03-499054,"2020-04-22 17:21:03"
6,ACVRL1,Oncogene,loader,2020-04-22-17-21-05-978721,"2020-04-22 17:21:06"
7,ADGRA2,Neither,loader,2020-04-22-17-33-21-459945,"2020-04-22 17:33:21"
8,ADORA2A,Neither,loader,2020-04-22-17-21-08-446620,"2020-04-22 17:21:08"
9,AKT1,Oncogene,loader,2020-04-22-17-21-20-404444,"2020-04-22 17:21:20"
10,AKT2,Oncogene,loader,2020-04-22-17-21-25-256566,"2020-04-22 17:21:25"
11,AKT3,Oncogene,loader,2020-04-22-17-21-27-386598,"2020-04-22 17:21:27"
12,ALK,Oncogene,loader,2020-04-22-17-21-29-607557,"2020-04-22 17:21:30"
13,ALOX12B,Neither,loader,2020-04-22-17-21-32-055960,"2020-04-22 17:21:32"
14,AMER1,Neither,loader,2020-04-22-17-30-35-106499,"2020-04-22 17:30:35"
15,ANKRD11,Neither,loader,2020-04-22-17-21-34-927991,"2020-04-22 17:21:35"
16,ANKRD26,Neither,loader,2020-04-22-17-21-36-480721,"2020-04-22 17:21:36"
17,APC,"Tumor Suppressor Gene",loader,2020-04-22-17-21-39-748030,"2020-04-22 17:21:40"
18,APEX1,Oncogene,loader,2020-04-22-17-21-41-997843,"2020-04-22 17:21:42"
19,AR,Oncogene,loader,2020-04-22-17-21-45-719434,"2020-04-22 17:21:46"
20,ARAF,Oncogene,loader,2020-04-22-17-21-48-041121,"2020-04-22 17:21:48"
21,ARFRP1,Neither,loader,2020-04-22-17-21-49-598556,"2020-04-22 17:21:50"
22,ARID1A,"Tumor Suppressor Gene",loader,2020-04-22-17-21-52-135103,"2020-04-22 17:21:52"
23,ARID1B,"Tumor Suppressor Gene",loader,2020-04-22-17-21-55-004436,"2020-04-22 17:21:55"
24,ARID2,"Tumor Suppressor Gene",loader,2020-04-22-17-21-56-821514,"2020-04-22 17:21:57"
25,ARID5B,"Tumor Suppressor Gene",loader,2020-04-22-17-21-59-557068,"2020-04-22 17:22:00"
26,ASXL1,"Tumor Suppressor Gene",loader,2020-04-22-17-22-02-681962,"2020-04-22 17:22:03"
27,ASXL2,"Tumor Suppressor Gene",loader,2020-04-22-17-22-05-386440,"2020-04-22 17:22:05"
28,ATM,"Tumor Suppressor Gene",loader,2020-04-22-17-22-12-848285,"2020-04-22 17:22:13"
29,ATP11B,Oncogene,loader,2020-04-22-17-22-16-588485,"2020-04-22 17:22:17"
30,ATR,"Tumor Suppressor Gene",loader,2020-04-22-17-22-18-754842,"2020-04-22 17:22:19"
31,ATRX,"Tumor Suppressor Gene",loader,2020-04-22-17-22-21-913425,"2020-04-22 17:22:22"
32,AURKA,Neither,loader,2020-04-22-17-22-26-067821,"2020-04-22 17:22:26"
33,AURKB,Neither,loader,2020-04-22-17-22-29-278596,"2020-04-22 17:22:29"
34,AXIN1,"Tumor Suppressor Gene",loader,2020-04-22-17-22-34-216416,"2020-04-22 17:22:34"
35,AXIN2,"Tumor Suppressor Gene",loader,2020-04-22-17-22-36-236775,"2020-04-22 17:22:36"
36,AXL,Oncogene,loader,2020-04-22-17-22-39-650467,"2020-04-22 17:22:40"
37,B2M,"Tumor Suppressor Gene",loader,2020-04-22-17-22-42-855102,"2020-04-22 17:22:43"
38,BAP1,"Tumor Suppressor Gene",loader,2020-04-22-17-22-50-640600,"2020-04-22 17:22:51"
39,BARD1,"Tumor Suppressor Gene",loader,2020-04-22-17-22-53-885271,"2020-04-22 17:22:54"
40,BBC3,Oncogene,loader,2020-04-22-17-22-56-906804,"2020-04-22 17:22:57"
41,BCL10,"Tumor Suppressor Gene",loader,2020-04-22-17-22-59-963549,"2020-04-22 17:23:00"
42,BCL2,Oncogene,loader,2020-04-22-17-23-02-748967,"2020-04-22 17:23:03"
43,BCL2L1,Oncogene,loader,2020-04-22-17-23-05-355164,"2020-04-22 17:23:05"
44,BCL2L11,Oncogene,loader,2020-04-22-17-23-08-001170,"2020-04-22 17:23:08"
45,BCL2L2,Neither,loader,2020-04-22-17-23-09-847337,"2020-04-22 17:23:10"
46,BCL6,Oncogene,loader,2020-04-22-17-23-11-839465,"2020-04-22 17:23:12"
47,BCL9,Oncogene,loader,2020-04-22-17-23-13-429329,"2020-04-22 17:23:13"
48,BCOR,"Tumor Suppressor Gene",loader,2020-04-22-17-23-15-556738,"2020-04-22 17:23:16"
49,BCORL1,Both,loader,2020-04-22-17-23-18-539770,"2020-04-22 17:23:19"
