id,PMID,DOI,title,journal_name,volume,first_page,last_page,publication_Year,authors_names
1,24456693,10.1016/j.leukres.2013.12.025,"BCR-ABL kinase domain mutations, including 2 novel mutations in imatinib resistant Malaysian chronic myeloid leukemia patients-Frequency and clinical outcome.","Leuk. Res.",38,454,459,2014,"Azlan et al."
2,10373409,10.1074/jbc.274.26.18141,"Signaling pathways activated by oncogenic forms of Abl tyrosine kinase.","J. Biol. Chem.",274,18141,18144,1999,"Zou & Calame"
3,17525340,10.1126/science.1139476,"Abraxas and RAP80 form a BRCA1 protein complex required for the DNA damage response.",Science,316,1194,1198,2007,"Smogorzewska et al."
4,28174424,10.1038/icb.2017.8,"Targeting A2 adenosine receptors in cancer.","Immunol. Cell Biol.",95,333,None,2017,"Turcotte et al."
5,23856527,10.1016/j.phrs.2013.07.002,"Adenosine receptors as potential targets in melanoma.","Pharmacol. Res.",76,34,None,2013,"Montinaro et al."
6,25377469,10.1158/0008-5472.CAN-13-3583,"Myeloid expression of adenosine A2A receptor suppresses T and NK cell responses in the solid tumor microenvironment.","Cancer Res.",74,7250,7259,2014,"Sag et al."
7,17510365,10.1126/science/1141515,"Wilms tumor suppressor WTX negatively regulates WNT/beta-catenin signaling.",Science,316,1043,1046,2007,"Biechele et al."
8,17925383,10.1242/jcs.011320,"AMER1 regulates the distribution of the tumor suppressor APC between microtubules and the plasma membrane.","J. Cell. Sci.",120,3738,3747,2007,"Alzner et al."
9,21498506,10.1074/jbc.M111.224881,"Structural and functional characterization of the Wnt inhibitor APC membrane recruitment 1 (Amer1).","J. Biol. Chem.",286,19204,19214,2011,"Schambony et al."
10,21220749,10.1182/blood-2010-08-301325,"Dichotomous regulation of GVHD through bidirectional functions of the BTLA-HVEM pathway.",Blood,117,2506,2514,2011,"Sakoda et al."
11,31774112,10.1042/BSR20191770,"Investigation of BTLA tagging variants with risk of esophagogastric junction adenocarcinoma.","Biosci. Rep.",39,None,None,2019,"Liu et al."
12,27717503,10.1016/j.cellimm.2016.09.015,"BTLA-expressing CD11c antigen presenting cells in patients with active tuberculosis exhibit low capacity to stimulate T cell proliferation.","Cell. Immunol.",311,28,None,2017,"Xiang et al."
13,26885690,10.18632/oncotarget.7376,"Targeting the CCL2-CCR2 signaling axis in cancer metastasis.",Oncotarget,7,28697,28710,2016,"Lim et al."
14,22789541,10.1016/j.ccr.2012.05.023,"Endothelial CCR2 signaling induced by colon carcinoma cells enables extravasation via the JAK2-Stat5 and p38MAPK pathway.","Cancer Cell",22,91,None,2012,"Knust et al."
15,15900302,10.1038/sj.bjc.6602596,"Reduced expression of chemokine (C-C motif) ligand-2 (CCL2) in ovarian adenocarcinoma.","Br. J. Cancer",92,2024,2031,2005,"Huggard et al."
16,23938203,10.1016/j.jmb.2013.08.001,"Structural basis for the interaction of human beta-defensin 6 and its putative chemokine receptor CCR2 and breast cancer microvesicles.","J. Mol. Biol.",425,4479,4495,2013,"Lima et al."
17,15995708,10.1038/ni1222,"Pivotal function for cytoplasmic protein FROUNT in CCR2-mediated monocyte chemotaxis.","Nat. Immunol.",6,827,835,2005,"Motomura et al."
