id,gene_name,synonym,editor,edit_date_string,edited_date
1,ABL1,ABL1,loader,2020-04-22-17-20-57-009392,"2020-04-22 17:20:57"
2,ABL2,ABL2,loader,2020-04-22-17-20-59-166361,"2020-04-22 17:20:59"
3,ABRAXAS1,FAM175A,loader,2020-04-22-17-30-36-728437,"2020-04-22 17:30:37"
4,ACVR1,ACVR1,loader,2020-04-22-17-21-01-224479,"2020-04-22 17:21:01"
5,ACVR1B,ACVR1B,loader,2020-04-22-17-21-03-499071,"2020-04-22 17:21:03"
6,ACVRL1,ACVRL1,loader,2020-04-22-17-21-05-978738,"2020-04-22 17:21:06"
7,ADGRA2,GPR124,loader,2020-04-22-17-33-21-459963,"2020-04-22 17:33:21"
8,ADORA2A,ADORA2A,loader,2020-04-22-17-21-08-446636,"2020-04-22 17:21:08"
9,AKT1,AKT1,loader,2020-04-22-17-21-20-404464,"2020-04-22 17:21:20"
10,AKT2,AKT2,loader,2020-04-22-17-21-25-256582,"2020-04-22 17:21:25"
11,AKT3,AKT3,loader,2020-04-22-17-21-27-386614,"2020-04-22 17:21:27"
12,ALK,ALK,loader,2020-04-22-17-21-29-607573,"2020-04-22 17:21:30"
13,ALOX12B,ALOX12B,loader,2020-04-22-17-21-32-055978,"2020-04-22 17:21:32"
14,AMER1,FAM123B,loader,2020-04-22-17-30-35-106516,"2020-04-22 17:30:35"
15,ANKRD11,ANKRD11,loader,2020-04-22-17-21-34-928008,"2020-04-22 17:21:35"
16,ANKRD26,ANKRD26,loader,2020-04-22-17-21-36-480737,"2020-04-22 17:21:36"
17,APC,APC,loader,2020-04-22-17-21-39-748046,"2020-04-22 17:21:40"
18,APEX1,APEX1,loader,2020-04-22-17-21-41-997859,"2020-04-22 17:21:42"
19,AR,AR,loader,2020-04-22-17-21-45-719452,"2020-04-22 17:21:46"
20,ARAF,ARAF,loader,2020-04-22-17-21-48-041137,"2020-04-22 17:21:48"
21,ARFRP1,ARFRP1,loader,2020-04-22-17-21-49-598572,"2020-04-22 17:21:50"
22,ARID1A,ARID1A,loader,2020-04-22-17-21-52-135120,"2020-04-22 17:21:52"
